id,word,definition,instruction,source,category
25,ok,Expression of agreement or acceptance.,"Sign the letters ""O"" and ""K"".",https://d2drp7fo8uq4gv.cloudfront.net/764bc419-5347-4108-9222-18d3addf6230.mp4,communication
177,soup,Liquid food.,Begin with the fingertip of your middle finger of your dominant hand against the palm side of your non-dominant hand. Then move the fingertips of your index and middle fingers up to your mouth a couple of times.,https://d2drp7fo8uq4gv.cloudfront.net/5a1873d9-80f1-487e-99a6-58d10719b9e6.mp4,food & drink
66,play,Engage in recreation or fun.,Place both hands in front of your with your thumbs pointing toward your chest. Alternate bringing your hands toward your chest and dragging your thumbs down on your chest.,https://d2drp7fo8uq4gv.cloudfront.net/a88946bd-9a1d-43eb-9afa-af1a38232b49.mp4,activity
73,learn,Gain knowledge or skill.,Begin with the fingertips of your dominant hand on the palm of your non-dominant hand. Bring your dominant hand to your forehead while also bringing your fingertips together.,https://d2drp7fo8uq4gv.cloudfront.net/a0dd2239-efd1-473a-ae1d-74a458b6afba.mp4,activity
123,purple,A color made from red and blue.,"Begin with your hand in front of you with your index finger pointing forward and your palm oriented downward. Then, slightly rotate your wrist from side to side a couple of times.",https://d2drp7fo8uq4gv.cloudfront.net/68d8fce8-c19f-44dd-8718-f0cf25c585fb.mp4,color
15,who,Question word asking about a person.,"Begin with your hand in front of your face with your palm oriented to the side, your thumb against your chin, and your index finger pointing up. Then, curl your index finger slightly down a couple of times.",https://d2drp7fo8uq4gv.cloudfront.net/cbf6e965-82a1-45a6-9cc4-ab3cfb19146d.mp4,question
9,girl,A female child.,Move your thumb across your jaw a couple of times.,https://d2drp7fo8uq4gv.cloudfront.net/1e981214-0334-4306-b156-232a8fab29f4.mp4,people
33,afternoon,Time of day after noon.,"Place your non-dominant hand under the elbow of your dominant hand. The dominant hand should be open with the fingers together. Begin the sign with the dominant hand facing forwards and slightly bent down, and then angle the forearm and hand downwards 2 times.",https://d2drp7fo8uq4gv.cloudfront.net/a083667c-c9e4-4d0e-be5f-b401ff72e29e.mp4,time
118,blue,A primary color like the sky.,Place your hand in front of you with your fingers vertical. Slightly rotate your wrist back and forth a couple of times.,https://d2drp7fo8uq4gv.cloudfront.net/fc1fa908-a04c-49a6-91d6-42b8acf2323a.mp4,color
129,about,Concerning a topic.,"Place the fingertips of your non-dominant hand together and keep it in front of you for the duration of the sign. With a ""1"" handshape, your dominant hand will begin by being placed on the index finger of the other hand, and then making a circle around the other hand.",https://d2drp7fo8uq4gv.cloudfront.net/eceb2118-69bf-4e94-b622-3684e4207fc1.mp4,preposition
13,family,A group of related people.,"Begin with both hands next to each other on the thumb side of your hands. Then, rotate your wrists until your hands make contact on the pinkie side of your hands.",https://d2drp7fo8uq4gv.cloudfront.net/800f02fe-b748-487d-8339-25f504328ee0.mp4,people
